id,timestamp,open,high,low,close,volume,price_range
1,2024-06-10 19:59:00,192.32,192.4,192.29,192.33,7650,0.11000000000001364
2,2024-06-10 19:58:00,192.25,192.35,192.25,192.31,2758,0.09999999999999432
3,2024-06-10 19:57:00,192.26,192.27,192.22,192.22,4278,0.05000000000001137
4,2024-06-10 19:56:00,192.28,192.29,192.25,192.28,6735,0.03999999999999204
5,2024-06-10 19:55:00,192.38,192.4,192.28,192.28,5785,0.12000000000000455
6,2024-06-10 19:54:00,192.37,192.4,192.36,192.38,3196,0.03999999999999204
7,2024-06-10 19:53:00,192.43,192.54,192.36,192.37,14102,0.1799999999999784
8,2024-06-10 19:52:00,192.49,192.53,192.425,192.43,2933,0.10499999999998977
9,2024-06-10 19:51:00,192.53,192.55,192.44,192.465,9904,0.11000000000001364
10,2024-06-10 19:50:00,192.59,192.59,192.525,192.55,2166,0.06499999999999773
11,2024-06-10 19:49:00,192.62,192.62,192.56,192.59,1456,0.060000000000002274
12,2024-06-10 19:48:00,192.62,192.62,192.6,192.61,1535,0.020000000000010232
13,2024-06-10 19:47:00,192.6,192.62,192.6,192.62,830,0.020000000000010232
14,2024-06-10 19:46:00,192.6,192.62,192.59,192.61,351,0.030000000000001137
15,2024-06-10 19:45:00,192.63,192.63,192.56,192.56,3237,0.06999999999999318
16,2024-06-10 19:44:00,192.62,192.65,192.6,192.615,5955,0.05000000000001137
17,2024-06-10 19:43:00,192.6,192.62,192.57,192.62,2398,0.05000000000001137
18,2024-06-10 19:42:00,192.575,192.62,192.575,192.61,264,0.045000000000015916
19,2024-06-10 19:41:00,192.62,192.62,192.55,192.56,1124,0.06999999999999318
20,2024-06-10 19:40:00,192.605,192.64,192.55,192.585,1451,0.08999999999997499
21,2024-06-10 19:39:00,192.65,192.65,192.56,192.58,1732,0.09000000000000341
22,2024-06-10 19:38:00,192.61,192.65,192.56,192.62,1656,0.09000000000000341
23,2024-06-10 19:37:00,192.62,192.68,192.585,192.63,1279,0.09499999999999886
24,2024-06-10 19:36:00,192.655,192.68,192.55,192.615,537,0.12999999999999545
25,2024-06-10 19:35:00,192.68,192.7,192.61,192.61,3591,0.08999999999997499
26,2024-06-10 19:34:00,192.59,192.81,192.59,192.69,7656,0.21999999999999886
27,2024-06-10 19:33:00,192.48,192.7,192.445,192.65,6096,0.25499999999999545
28,2024-06-10 19:32:00,192.48,192.48,192.41,192.48,1495,0.06999999999999318
